topic,Agreeableness,Openness,Conscientiousness,Extraversion,Neuroticism
Is a universal basic income a viable solution?,66.26,63.55,69.37,85.62,83.88
Is animal testing justified?,83.94,80.07,84.15,80.59,64.59
Is capital punishment effective in deterring crime?,84.69,66.59,83.0,73.72,52.39
Is censorship ever justified?,75.16,64.12,62.52,62.86,64.43
Is homeschooling better than traditional schooling?,68.39,68.28,73.97,58.5,54.34
Is social media more harmful than beneficial?,72.47,83.35,85.93,67.35,72.4
Is the concept of a cashless society beneficial?,58.52,71.94,70.21,87.54,53.51
Is the concept of a cashless society feasible?,65.98,56.32,69.86,74.2,82.72
Is the concept of a digital currency beneficial?,72.28,51.93,80.3,53.31,75.49
Is the concept of a flat tax rate fair?,82.72,87.94,72.9,89.86,87.47
Is the concept of a global currency feasible?,82.1,60.19,66.15,57.43,79.62
Is the concept of a global government beneficial?,66.98,64.73,69.99,62.14,63.62
Is the concept of a global government feasible?,63.37,84.57,81.85,71.79,66.09
Is the concept of a global language beneficial?,63.26,84.24,89.41,64.89,72.35
Is the concept of a living wage achievable?,70.31,79.18,84.13,87.12,76.65
Is the concept of a merit-based immigration system fair?,65.66,81.54,71.02,58.07,67.45
Is the concept of a minimum wage outdated?,74.8,85.78,82.75,70.08,66.92
Is the concept of a nuclear family still relevant?,54.28,78.82,71.35,87.39,74.1
Is the concept of a universal basic income feasible?,68.0,80.06,63.06,75.16,85.62
Is the concept of a universal currency beneficial?,63.7,55.05,67.76,71.09,89.19
Is the concept of a universal education system beneficial?,79.98,89.16,66.26,65.93,59.71
Is the concept of a universal healthcare system feasible?,62.22,52.5,63.39,80.14,72.59
Is the concept of a universal language achievable?,76.75,56.32,87.44,86.47,67.84
Is the concept of a universal language beneficial?,84.41,50.74,73.17,60.57,78.87
Is the concept of a work-life balance achievable?,88.87,62.59,87.86,60.09,60.48
Is the concept of marriage outdated?,69.86,73.77,72.13,70.72,60.75
Is the current education system outdated?,86.79,57.97,79.36,61.85,82.99
Is the fashion industry contributing to body image issues?,57.3,78.5,71.51,64.29,70.19
Is the gig economy beneficial for workers?,70.4,62.48,67.73,72.73,63.51
Is the portrayal of violence in media harmful?,85.49,66.76,60.66,87.22,89.86
Is the school curriculum preparing students for real life?,63.11,75.24,75.26,71.57,68.04
Is the use of animals in entertainment ethical?,51.96,81.24,71.95,65.02,62.57
Is the use of artificial intelligence ethical?,85.43,74.56,64.09,86.74,85.85
Is the use of artificial intelligence in education ethical?,79.18,77.3,80.26,64.31,81.37
Is the use of artificial intelligence in healthcare ethical?,89.16,89.46,82.96,84.0,74.05
Is the use of artificial intelligence in warfare ethical?,64.13,65.56,63.57,62.61,75.09
Is the use of capital punishment ethical?,74.11,54.69,78.98,72.09,79.25
Is the use of child labor ever justified?,67.13,84.9,63.61,73.52,60.35
Is the use of child soldiers ever justified?,80.43,56.12,71.01,73.64,85.86
Is the use of cloning ethical?,84.65,75.66,66.29,73.87,77.08
Is the use of corporal punishment justified?,87.55,69.74,65.46,72.22,63.19
Is the use of genetic engineering ethical?,50.98,84.58,78.3,59.07,65.79
Is the use of genetic engineering in agriculture ethical?,78.12,60.11,63.02,60.14,60.47
Is the use of genetic modification in animals ethical?,54.84,74.18,82.94,85.99,66.78
Is the use of genetic modification in humans ethical?,50.57,87.29,63.01,77.63,79.53
Is the use of nuclear energy justified?,81.46,65.98,63.06,78.62,63.06
Is the use of nuclear weapons ever justified?,89.42,50.52,68.86,58.17,87.35
Is the use of surveillance cameras an invasion of privacy?,88.48,61.6,60.47,71.77,61.4
Is the use of sweatshops ever justified?,66.4,66.6,77.98,53.25,70.96
Is the use of torture ever justified?,62.0,83.45,78.22,68.27,76.04
Should advertising to children be restricted?,66.54,79.41,65.83,67.3,87.52
Should climate change be a government priority?,79.56,78.85,82.02,61.37,60.41
Should genetically modified organisms (GMOs) be banned?,66.75,75.98,84.4,76.31,64.76
Should healthcare be free for everyone?,66.0,66.96,69.09,68.92,62.62
Should the death penalty be abolished?,84.73,68.4,60.92,58.15,86.47
Should the government control the media?,87.26,78.22,65.68,72.72,89.26
Should the government fund space exploration?,69.49,77.05,62.85,62.71,75.54
Should the government provide free childcare?,84.15,65.24,72.94,73.15,70.32
Should the government provide free disaster relief services?,64.94,84.72,88.52,60.28,89.3
Should the government provide free education for all?,72.53,51.17,51.41,62.2,88.18
Should the government provide free elder care?,76.87,79.56,84.08,70.03,72.24
Should the government provide free emergency services?,84.57,89.08,54.87,84.34,76.86
Should the government provide free environmental services?,79.44,63.67,84.92,89.16,55.91
Should the government provide free healthcare for all?,84.96,89.66,60.08,87.73,77.27
Should the government provide free higher education?,84.71,82.76,77.22,75.68,69.95
Should the government provide free housing for all?,69.3,72.68,52.25,64.89,68.77
Should the government provide free housing?,52.93,58.61,71.18,85.82,75.47
Should the government provide free internet access?,65.42,60.3,77.38,88.53,83.67
Should the government provide free job training?,69.28,57.55,61.71,56.21,76.53
Should the government provide free legal services?,82.4,68.43,88.88,61.74,77.69
Should the government provide free mental health services?,84.6,76.11,79.94,67.79,75.36
Should the government provide free public services?,52.71,66.32,78.08,60.47,72.47
Should the government provide free public transportation?,60.46,62.2,75.87,84.39,85.78
