unique_id,Agreeableness,Openness,Conscientiousness,Extraversion,Neuroticism
"Are electric cars truly sustainable? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Are electric cars truly sustainable? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Are electric cars truly sustainable? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Are electric cars truly sustainable? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Are electric cars truly sustainable? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Are electric cars truly sustainable? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Are electric cars truly sustainable? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Are electric cars truly sustainable? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Are electric cars truly sustainable? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Are electric cars truly sustainable? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Are social media influencers ruining modern culture? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Are social media influencers ruining modern culture? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Are social media influencers ruining modern culture? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Are social media influencers ruining modern culture? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Are social media influencers ruining modern culture? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Are social media influencers ruining modern culture? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Are social media influencers ruining modern culture? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Are social media influencers ruining modern culture? | Traits: {'Agreeableness': 'Low', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Are social media influencers ruining modern culture? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Are social media influencers ruining modern culture? | Traits: {'Agreeableness': 'Low', 'Openness': 'Low', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Does capitalism cause environmental destruction? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'High', 'Extraversion': 'Low', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
"Does capitalism cause environmental destruction? | Traits: {'Agreeableness': 'High', 'Openness': 'High', 'Conscientiousness': 'Low', 'Extraversion': 'High', 'Neuroticism': 'High'}",100.0,100.0,100.0,100.0,100.0
"Does capitalism cause environmental destruction? | Traits: {'Agreeableness': 'High', 'Openness': 'Low', 'Conscientiousness': 'High', 'Extraversion': 'High', 'Neuroticism': 'Low'}",100.0,100.0,100.0,100.0,100.0
